일자,중식메뉴,석식메뉴,메뉴분류
2016-03-07,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 콩나물국  닭갈비 (닭고기:국내산) 모둠묵*양념장  톳두부무침  포기김치 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 대구찌개 돈육굴소스볶음  감자채볶음  물파래무침   포기김치 (김치:국내산) ",육류
2016-03-07,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 콩나물국  닭갈비 (닭고기:국내산) 모둠묵*양념장  톳두부무침  포기김치 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 대구찌개 돈육굴소스볶음  감자채볶음  물파래무침   포기김치 (김치:국내산) ",육류
2016-03-08,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 차돌박이찌개 (쇠고기:호주산) 고등어김치말이  소세지구이  풋마늘초무침  깍두기 (김치:국내산)   ","카레덮밥 (쌀,현미흑미:국내산) 가쯔오장국 수제고로케*케찹  과일샐러드  오복지   포기김치 (김치:국내산) ",해산물
2016-03-08,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 차돌박이찌개 (쇠고기:호주산) 고등어김치말이  소세지구이  풋마늘초무침  깍두기 (김치:국내산)   ","카레덮밥 (쌀,현미흑미:국내산) 가쯔오장국 수제고로케*케찹  과일샐러드  오복지   포기김치 (김치:국내산) ",0
2016-03-09,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 북어국  돈육장조림 (돼지고기:국내산) 홍어무침  시금치나물  포기김치 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 육개장 생선까스*탈탈소스  야채계란찜  콩나물무침   포기김치 (김치:국내산) ",육류
2016-03-09,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 북어국  돈육장조림 (돼지고기:국내산) 홍어무침  시금치나물  포기김치 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 육개장 생선까스*탈탈소스  야채계란찜  콩나물무침   포기김치 (김치:국내산) ",해산물
2016-03-10,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 고추장찌개  닭데리야끼조림  해물파전  취나물  포기김치 (김치:국내산)   ","볶음밥 (쌀,현미흑미:국내산) 짬뽕 개성감자만두  타코야끼  꼬들단무지   포기김치 (김치:국내산) ",조류
2016-03-10,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 고추장찌개  닭데리야끼조림  해물파전  취나물  포기김치 (김치:국내산)   ","볶음밥 (쌀,현미흑미:국내산) 짬뽕 개성감자만두  타코야끼  꼬들단무지   포기김치 (김치:국내산) ",육류
2016-03-11,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 배추된장국  수제돈가스 (돼지고기:국내산) 탕평채  쫄면무침  포기김치 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 연두부탕 코다리무조림  고추잡채*꽃빵  봄동겉절이   포기김치 (김치:국내산) ",육류
2016-03-11,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 배추된장국  수제돈가스 (돼지고기:국내산) 탕평채  쫄면무침  포기김치 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 연두부탕 코다리무조림  고추잡채*꽃빵  봄동겉절이   포기김치 (김치:국내산) ",해산물
2016-03-14,쌀밥/잡곡밥 (쌀:국내산) 어묵국  돈육고추장볶음 (돼지고기:국내산) 모둠양채쌈*쌈장  콩나물파채무침   포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 달래된장찌개  간장찜닭 (닭고기:국내산) 통도라지구이 참나물생채   포기김치 (김치:국내산) ,육류
2016-03-14,쌀밥/잡곡밥 (쌀:국내산) 어묵국  돈육고추장볶음 (돼지고기:국내산) 모둠양채쌈*쌈장  콩나물파채무침   포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 달래된장찌개  간장찜닭 (닭고기:국내산) 통도라지구이 참나물생채   포기김치 (김치:국내산) ,조류
2016-03-15,쌀밥/잡곡밥 (쌀:국내산) 쑥국  소불고기 (쇠고기:호주산) 골뱅이무침*소면  마늘쫑볶음   포기김치 (김치:국내산)  ,"짜장잡채덮밥 (돈육,쌀:국내산) 계란파국  참치야채전  꽃맛살샐러드 오이무침   포기김치 (김치:국내산) ",육류
2016-03-15,쌀밥/잡곡밥 (쌀:국내산) 쑥국  소불고기 (쇠고기:호주산) 골뱅이무침*소면  마늘쫑볶음   포기김치 (김치:국내산)  ,"짜장잡채덮밥 (돈육,쌀:국내산) 계란파국  참치야채전  꽃맛살샐러드 오이무침   포기김치 (김치:국내산) ",해산물
2016-03-16,곤드레밥 (쌀:국내산) 콩나물김치국  미니채소떡갈비 (쇠고기:호주산.돈육:국내산) 두부계란부침  무나물   포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 뼈해장국 (돼지고기:국내산) 해물청경채볶음  버섯메밀전 야채스틱*쌈장   포기김치 (김치:국내산) ,육류
2016-03-16,곤드레밥 (쌀:국내산) 콩나물김치국  미니채소떡갈비 (쇠고기:호주산.돈육:국내산) 두부계란부침  무나물   포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 뼈해장국 (돼지고기:국내산) 해물청경채볶음  버섯메밀전 야채스틱*쌈장   포기김치 (김치:국내산) ,해산물
2016-03-17,쌀밥/잡곡밥 (쌀:국내산) 사골우거지국 (쇠고기:호주산) 탕수어  파래김*양념장  깻순나물   깍두기 (김치:국내산)  ,토마토스파게티 (쌀:국내산) 양송이스프  미니햄버거 (돼지고기:국내산) 단호박범벅 무피클/음료   포기김치 (김치:국내산) ,해산물
2016-03-17,쌀밥/잡곡밥 (쌀:국내산) 사골우거지국 (쇠고기:호주산) 탕수어  파래김*양념장  깻순나물   깍두기 (김치:국내산)  ,토마토스파게티 (쌀:국내산) 양송이스프  미니햄버거 (돼지고기:국내산) 단호박범벅 무피클/음료   포기김치 (김치:국내산) ,육류
2016-03-18,쌀밥/잡곡밥 (쌀:국내산) 시금치국  훈제오리구이  연근땅콩조림  쌈무/부추생채   포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 닭곰탕 (닭고기:국내산) 임연수찜  어묵곤약볶음 돌나물초장   석박지 (김치:국내산) ,조류
2016-03-18,쌀밥/잡곡밥 (쌀:국내산) 시금치국  훈제오리구이  연근땅콩조림  쌈무/부추생채   포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 닭곰탕 (닭고기:국내산) 임연수찜  어묵곤약볶음 돌나물초장   석박지 (김치:국내산) ,해산물
2016-03-21, 쌀밥/잡곡밥 (쌀:국내산) 꽃게탕  버섯불고기 (쇠고기:호주산) 계란말이  도토리묵무침  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 수제비국  아귀콩나물찜  새송이버섯볶음  봄동겉절이  포기김치 (김치:국내산) ,육류
2016-03-21, 쌀밥/잡곡밥 (쌀:국내산) 꽃게탕  버섯불고기 (쇠고기:호주산) 계란말이  도토리묵무침  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 수제비국  아귀콩나물찜  새송이버섯볶음  봄동겉절이  포기김치 (김치:국내산) ,0
2016-03-22, 쌀밥/잡곡밥 (쌀:국내산) 쇠고기샤브국 (쇠고기:호주산) 코다리강정  두부&김치볶음  유채나물  깍두기 (김치:국내산)  ,굴소스파인볶음밥 (쌀:국내산) 가쯔오장국  찹쌀순대볶음  궁중떡찜  두반장가지나물  포기김치 (김치:국내산) ,해산물
2016-03-22, 쌀밥/잡곡밥 (쌀:국내산) 쇠고기샤브국 (쇠고기:호주산) 코다리강정  두부&김치볶음  유채나물  깍두기 (김치:국내산)  ,굴소스파인볶음밥 (쌀:국내산) 가쯔오장국  찹쌀순대볶음  궁중떡찜  두반장가지나물  포기김치 (김치:국내산) ,육류
2016-03-23, 콩나물밥*달래장 (쌀:국내산) 맑은국  치킨텐더*요거트D (닭고기:국내산) 땅콩조림  실곤약초무침  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 알탕  동그랑땡전  마파두부 (돼지고기:국내산) 시금치나물  포기김치 (김치:국내산) ,조류
2016-03-23, 콩나물밥*달래장 (쌀:국내산) 맑은국  치킨텐더*요거트D (닭고기:국내산) 땅콩조림  실곤약초무침  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 알탕  동그랑땡전  마파두부 (돼지고기:국내산) 시금치나물  포기김치 (김치:국내산) ,0
2016-03-24, 쌀밥/잡곡밥 (쌀:국내산) 북어계란국  쇠고기장조림 (쇠고기:호주산) 오징어초무침  시래기나물  포기김치 (김치:국내산)  ,참치회덮밥 (쌀:국내산) 미소장국  군만두  콘샐러드  바나나  포기김치 (김치:국내산) ,육류
2016-03-24, 쌀밥/잡곡밥 (쌀:국내산) 북어계란국  쇠고기장조림 (쇠고기:호주산) 오징어초무침  시래기나물  포기김치 (김치:국내산)  ,참치회덮밥 (쌀:국내산) 미소장국  군만두  콘샐러드  바나나  포기김치 (김치:국내산) ,육류
2016-03-25, 쌀밥/잡곡밥 (쌀:국내산) 닭개장 (닭고기:국내산) 자반고등어구이 (고등어:국내산) 비엔나볶음  열무나물  배추겉절이 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 냉이된장찌개  누룽지탕수육 (돼지고기:국내산) 감자채볶음  청경채무침  포기김치 (김치:국내산) ,해산물
2016-03-25, 쌀밥/잡곡밥 (쌀:국내산) 닭개장 (닭고기:국내산) 자반고등어구이 (고등어:국내산) 비엔나볶음  열무나물  배추겉절이 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 냉이된장찌개  누룽지탕수육 (돼지고기:국내산) 감자채볶음  청경채무침  포기김치 (김치:국내산) ,육류
2016-03-28, 쌀밥/잡곡밥 (쌀:국내산) 얼갈이된장국  닭갈비  해파리냉채  취나물  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 콩비지찌개  유산슬  해물까스*탈탈소스  도라지나물  포기김치 (김치:국내산) ,육류
2016-03-28, 쌀밥/잡곡밥 (쌀:국내산) 얼갈이된장국  닭갈비  해파리냉채  취나물  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 콩비지찌개  유산슬  해물까스*탈탈소스  도라지나물  포기김치 (김치:국내산) ,해산물
2016-03-29, 쌀밥/잡곡밥 (쌀:국내산) 옹심이만두국  주꾸미볶음  새송이버섯전  치커리유자청생채  포기김치 (김치:국내산)  ,햄볶음밥 (쌀:국내산) 유부장국  돈육씨앗강정  해초무침  깨찰빵  포기김치 (김치:국내산) ,해산물
2016-03-29, 쌀밥/잡곡밥 (쌀:국내산) 옹심이만두국  주꾸미볶음  새송이버섯전  치커리유자청생채  포기김치 (김치:국내산)  ,햄볶음밥 (쌀:국내산) 유부장국  돈육씨앗강정  해초무침  깨찰빵  포기김치 (김치:국내산) ,육류
2016-03-30, 봄새싹비빔밥 (쌀:국내산) 쪽파국  오징어튀김  알감자버터구이  오렌지  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 어묵국  등갈비김치찜  청포묵무침  애호박나물  깍두기 (김치:국내산) ,해산물
2016-03-30, 봄새싹비빔밥 (쌀:국내산) 쪽파국  오징어튀김  알감자버터구이  오렌지  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 어묵국  등갈비김치찜  청포묵무침  애호박나물  깍두기 (김치:국내산) ,육류
2016-03-31, 쌀밥/잡곡밥 (쌀:국내산) 매운콩나물국  돈육굴소스볶음  동태전  봄동나물  포기김치 (김치:국내산)  ,주먹밥 (쌀:국내산) 잔치국수  또띠아피자  과일샐러드  오이피클  포기김치 (김치:국내산) ,육류
2016-03-31, 쌀밥/잡곡밥 (쌀:국내산) 매운콩나물국  돈육굴소스볶음  동태전  봄동나물  포기김치 (김치:국내산)  ,주먹밥 (쌀:국내산) 잔치국수  또띠아피자  과일샐러드  오이피클  포기김치 (김치:국내산) ,0
2016-04-01, 쌀밥/잡곡밥 (쌀:국내산) 버섯들깨탕  갈치조림  우엉잡채  아삭고추무침  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 쇠고기미역국  순살깐풍기  계란찜  숙주미나리나물  포기김치 (김치:국내산) ,해산물
2016-04-01, 쌀밥/잡곡밥 (쌀:국내산) 버섯들깨탕  갈치조림  우엉잡채  아삭고추무침  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 쇠고기미역국  순살깐풍기  계란찜  숙주미나리나물  포기김치 (김치:국내산) ,조류
2016-04-04,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 순두부찌개  쇠불고기  브로컬리맛살볶음  풋마늘초무침  포기김치 (배추,고추가루:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 된장찌개  고등어조림  고기전  부추생채  포기김치 (김치:국내산) ",육류
2016-04-04,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 순두부찌개  쇠불고기  브로컬리맛살볶음  풋마늘초무침  포기김치 (배추,고추가루:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 된장찌개  고등어조림  고기전  부추생채  포기김치 (김치:국내산) ",해산물
2016-04-05,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 북어국  오징어볶음*소면  모둠소시지구이  시금치나물  포기김치 (배추,고추가루:국내산)   ","김치볶음밥 (쌀,현미흑미:국내산) 가쯔오장국  감자치즈구이  꽃맛살샐러드  단무지  깍두기 (배추,고추가루:국내산) ",해산물
2016-04-05,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 북어국  오징어볶음*소면  모둠소시지구이  시금치나물  포기김치 (배추,고추가루:국내산)   ","김치볶음밥 (쌀,현미흑미:국내산) 가쯔오장국  감자치즈구이  꽃맛살샐러드  단무지  깍두기 (배추,고추가루:국내산) ",해산물
